
"MAKE","MODEL","MODEL_YR","BODY_STYLE","VEHICLE_TYPE","DRIVE_TRAIN","PRODUCTION_RELEASE","VEHICLE_CLASS","BODY_FRAME","NUM_OF_SEATING","SEAT_LOC","SEAT_LOC_COMMENTS","MIN_GROSS_WEIGHT","MAX_GROSS_WEIGHT","UPPER_BELT_ANCHORAGE","UPPER_BELT_ANCHORAGE_LOC","SEAT_BELT_PRETENSIONER","SEAT_BELT_PRETENSIONER_LOC","LOAD_LIMITERS","LOAD_LIMITERS_LOC","FRNT_BELT_INDICATOR","FRNT_BELT_LOC","REAR_BELT_INDICATOR","LATCH_REAR_POSITION","HEAD_SAB","HEAD_SAB_TYPE","HEAD_SAB_LOC","HEAD_SAB_MOUNT_LOC","HEAD_SAB_MEET_REQUIREMENTS","HEAD_SAB_DEPLOY_IN_ROLLOVER","TORSO_SAB","TORSO_SAB_TYPE","TORSO_SAB_LOC","TORSO_SAB_MOUNT_LOC","KNEE_BOLSTERS","KNEE_BOLSTERS_LOC","ADL","HEAD_RESTRAINT_IND","DYNAMIC_HEAD_RESTRAINT_IND","BETI","BLIND_SPOT_DETECTION","DAY_RUN_LIGHTS","ADAPTIVE_CRUISE_CONTROL","ABS","ARS","ARS_LOC","AUTO_CRASH_NOTIFICATION","CRASH_DATA_RECORDER","ANTI_THEFT_DEVICE","ANTI_THEFT_DEVICE_TYPE","FRNT_COLLISION_WARNING","NHTSA_FRNT_COLLISION_WARNING","NHTSA_FCW_EVALUATION","LANE_DEPARTURE_WARNING","NHTSA_LANE_DEPARTURE_WARNING","NHTSA_LDW_EVALUATION","CRASH_IMMINENT_BRAKE","NHTSA_CRASH_IMMINENT_BRAKE","NHTSA_CIB_EVALUATION","DYNAMIC_BRAKE_SUPPORT","NHTSA_DYNAMIC_BRAKE_SUPPORT","NHTSA_DBS_EVALUATION","NHTSA_ESC","PELVIS_SAB","PELVIS_SAB_TYPE","PELVIS_SAB_LOC","PELVIS_SAB_MOUNT_LOC","OVERALL_STARS","FRNT_TEST_NO","FRNT_VIN","FRNT_DRIV_STARS","FRNT_PASS_STARS","FRNT_SAFETY_CONCERN_DRIV","FRNT_SAFETY_CONCERN_PASS","FRNT_FOOT_NOTES","FRNT_FOOT_NOTES_PASS","OVERALL_FRNT_STARS","CURB_WEIGHT","FRNT_TESTED_WITH","HIC15_DRIV","CHEST_DEFL_DRIV","LEFT_FEMUR_DRIV","RIGHT_FEMUR_DRIV","NIJ_DRIV","NECK_TENS_DRIV","NET_COMP_DRIV","HIC15_PASS","CHEST_DEFL_PASS","LEFT_FEMUR_PASS","RIGHT_FEMUR_PASS","NIJ_PASS","NECK_TENS_PASS","NET_COMP_PASS","SIDE_TEST_NO","SIDE_VIN","SIDE_DRIV_STARS","SIDE_PASS_STARS","SIDE_BARRIER_STAR","COMB_FRNT_STAR","COMB_REAR_STAR","SIDE_SAFETY_CONCERN_DRIV","SIDE_SAFETY_CONCERN_PASS","SIDE_FOOT_NOTES","SIDE_FOOT_NOTES_PASS","OVERALL_SIDE_STARS","SIDE_TESTED_WITH","SIDE_HIC_36_DRIV","RIB_DEFLECTION_DRIV","ABDOMEN_FORCE_DRIV","SYMPHYSIS_FORCE_DRIV","SIDE_HIC_36_PASS","PELVIC_FORCE_PASS","POLE_TEST_NO","POLE_VIN","SIDE_POLE_STARS","POLE_SAFETY_CONCERN","POLE_FOOT_NOTES","POLE_TESTED_WITH","POLE_HIC_36_DRIV","PELVIC_FORCE","ROLLOVER_POSSIBILITY","STATIC_STABI_FACTOR","TIP","ROLL_SAFETY_CONCERN","ROLL_FOOT_NOTES","ROLLOVER_STARS","NHTSA_BACKUP_CAMERA","BACKUP_CAMERA"
"ACURA","ADX",2025,"SUV","MPV","AWD",1,," ","5","1, 3, 4, 5, 6","N/A",4453,4607,"Standard","1, 3","Standard","1, 3, 4, 6","Standard","1, 3, 4, 6",,"1, 3, 4, 5, 6",,"4, 6","Standard","Head Protection","1, 3, 4, 6"," ","Yes"," ","Standard","Torso and/or Pelvis Protection","1, 3, 4, 6"," ","Standard","1, 3",,"1, 3, 4, 5, 6","N/A",,"Standard"," ",,,"Standard","1,3,4,6,R"," ","Standard"," "," ","Standard","Standard","Test Pending","Standard","Standard","Meets Performance Criteria","Standard","Standard","Test Pending","Standard","Standard","Test Pending",," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
"ACURA","ADX",2025,"SUV","MPV","FWD",1,," ","5","1, 3, 4, 5, 6","N/A",4453,4607,"Standard","1, 3","Standard","1, 3, 4, 6","Standard","1, 3, 4, 6",,"1, 3, 4, 5, 6",,"4, 6","Standard","Head Protection","1, 3, 4, 6"," ","Yes"," ","Standard","Torso and/or Pelvis Protection","1, 3, 4, 6"," ","Standard","1, 3",,"1, 3, 4, 5, 6","N/A",,"Standard"," ",,,"Standard","1,3,4,6,R"," ","Standard"," "," ","Standard","Standard","Test Pending","Standard","Standard","Meets Performance Criteria","Standard","Standard","Test Pending","Standard","Standard","Test Pending",," "," "," "," ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
"ACURA","INTEGRA",2025,"5 HB","PC","FWD",1,," ","5","1, 3, 4, 5, 6","N/A",4001,4078,"Standard","1, 3","Standard","1, 3, 4, 6","Standard","1, 3, 4, 6",,"1, 3, 4, 5, 6",,"4, 6","Standard","Head Protection","1, 3, 4, 6"," ","Yes"," ","Standard","Torso and/or Pelvis Protection","1, 3, 4, 6"," ","Standard","1, 3",,"1, 3, 4, 5, 6","N/A",,"Standard"," ",,,"Standard","1,3,R"," ","Standard"," "," ","Standard","Standard","Meets Performance Criteria","Standard","Standard","Test Pending","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria",," "," "," "," ",5,14258,"19UDE4G79PA005104",5,5,,,,,5,3065,"FRONTAL AIRBAG,KNEE AIR BAG",231.16,19.752,1276.61,2553.46,.27,847.854,85.427,328.259,14.267,1178.14,474.155,.27,671.62,322.967,14261,"19UDE4G71PA004819",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",144.975,23.877,1007.45,1336.93,239.345,2363.04,14260,"19UDE4G74PA005267",5,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",235.989,2871.97,.095,1.48,"No Tip",,,5,,
"ACURA","INTEGRA TYPE-S",2025,"5 HB","PC","FWD",1,," ","4","1, 3, 4, 6","N/A",3957,3957,"Standard","1, 3","Standard","1, 3, 4, 6","Standard","1, 3, 4, 6",,"1, 3, 4, 6",,"4, 6","Standard","Head Protection","1, 3, 4, 6"," ","Yes"," ","Standard","Torso and/or Pelvis Protection","1, 3, 4, 6"," ","Standard","1, 3",,"1, 3, 4, 6","N/A",,"Standard"," ",,,"Standard","1,3"," ","Standard"," "," ","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria","Standard","Standard","Test Pending","Standard","Standard","Test Pending",," "," "," "," ",,,,,,,,,,,2871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.095,1.48,"No Tip",,,5,,
"ACURA","MDX",2025,"SUV","MPV","AWD",1,," ","7","1, 3, 4, 5, 6, 7, 9","N/A",5600,5820,"Standard","1, 3","Standard","1, 3, 4, 6","Standard","1, 3, 4, 6",,"1, 3, 4, 5, 6, 7, 9",,"4, 5, 6","Standard","Head Protection","1, 3, 4, 6, 7, 9"," ","Yes"," ","Standard","Torso and/or Pelvis Protection","1, 3"," ","Standard","1, 3",,"1, 3, 4, 5, 6, 7, 9","N/A",,"Standard"," ",,,"Standard","1,3,4,6,R"," ","Standard"," "," ","Standard","Standard & Optional","Only Standard Meets Performance Criteria","Standard","Standard & Optional","Only Standard Meets Performance Criteria","Standard","Standard & Optional","Only Standard Meets Performance Criteria","Standard","Standard & Optional","Only Standard Meets Performance Criteria",," "," "," "," ",,11663,"5J8YE1H30NL001570",4,4,,,,,4,4488,"FRONTAL AIR BAG,KNEE AIR BAG",243.752,23.921,2061.157,2317.652,.29,1354.183,261.062,288.27,17.196,1744.402,2037.548,.3,544.159,333.11,11661,"5J8YD9H33NL006246",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",106.597,14.831,466.768,1005.993,142.448,746.635,11662,"5J8YD9H39NL006252",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",549.43,1886.689,.151,,"No Tip",,,,,
"ACURA","MDX",2025,"SUV","MPV","FWD",1,," ","7","1, 3, 4, 5, 6, 7, 9","N/A",5600,5820,"Standard","1, 3","Standard","1, 3, 4, 6","Standard","1, 3, 4, 6",,"1, 3, 4, 5, 6, 7, 9",,"4, 5, 6","Standard","Head Protection","1, 3, 4, 6, 7, 9"," ","Yes"," ","Standard","Torso and/or Pelvis Protection","1, 3"," ","Standard","1, 3",,"1, 3, 4, 5, 6, 7, 9","N/A",,"Standard"," ",,,"Standard","1,3,4,6,R"," ","Standard"," "," ","Standard","Standard & Optional","Only Standard Meets Performance Criteria","Standard","Standard & Optional","Only Standard Meets Performance Criteria","Standard","Standard & Optional","Only Standard Meets Performance Criteria","Standard","Standard & Optional","Only Standard Meets Performance Criteria",," "," "," "," ",5,11663,"5J8YE1H30NL001570",4,4,,,,,4,4488,"FRONTAL AIR BAG,KNEE AIR BAG",243.752,23.921,2061.157,2317.652,.29,1354.183,261.062,288.27,17.196,1744.402,2037.548,.3,544.159,333.11,11661,"5J8YD9H33NL006246",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",106.597,14.831,466.768,1005.993,142.448,746.635,11662,"5J8YD9H39NL006252",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",549.43,1886.689,.151,1.27,"No Tip",,,4,,
"ACURA","RDX",2025,"SUV","MPV","AWD",1,," ","5","1, 3, 4, 5, 6"," ",4784,5027,"Standard","1, 3","Standard","1, 3, 4, 6","Standard","1, 3, 4, 6",,"1, 3, 4, 5, 6",,"4, 6","Standard","Head Protection","1, 3, 4, 6"," ","Yes"," ","Standard","Torso and/or Pelvis Protection","1, 3"," ","Standard","1, 3",,"1, 3, 4, 5, 6","N/A",,"Standard"," ",,,"Standard","1,3,4,6,R"," ","Standard"," "," ","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria",," "," "," "," ",5,10556,"5J8TC2H31KL012420",4,4,,,,,4,3989,"FRONTAL AIR BAG,KNEE AIR BAG",300.201,27.321,1457.93,2063.174,.26,1165.62,100.635,352.628,15.3,1611.771,1961.714,.3,438.544,372.26,10364,"5J8TC1H3XKL001670",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",62.71,15.514,577.103,964.576,123.639,2055.456,10365,"5J8TC1H36KL001665",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",485.973,3130.952,.165,1.2372,"No Tip",,,4,,
"ACURA","RDX",2025,"SUV","MPV","FWD",1,," ","5","1, 3, 4, 5, 6"," ",4784,5027,"Standard","1, 3","Standard","1, 3, 4, 6","Standard","1, 3, 4, 6",,"1, 3, 4, 5, 6",,"4, 6","Standard","Head Protection","1, 3, 4, 6"," ","Yes"," ","Standard","Torso and/or Pelvis Protection","1, 3"," ","Standard","1, 3",,"1, 3, 4, 5, 6","N/A",,"Standard"," ",,,"Standard","1,3,4,6,R"," ","Standard"," "," ","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria",," "," "," "," ",5,10556,"5J8TC2H31KL012420",4,4,,,,,4,3989,"FRONTAL AIR BAG,KNEE AIR BAG",300.201,27.321,1457.93,2063.174,.26,1165.62,100.635,352.628,15.3,1611.771,1961.714,.3,438.544,372.26,10364,"5J8TC1H3XKL001670",5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",62.71,15.514,577.103,964.576,123.639,2055.456,10365,"5J8TC1H36KL001665",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",485.973,3130.952,.165,1.2372,"No Tip",,,4,,
"ACURA","TLX",2025,"4 DR","PC","AWD",1,," ","5","1, 3, 4, 5, 6","N/A",4806,5181,"Standard","1, 3","Standard","1, 3, 4, 6","Standard","1, 3, 4, 6",,"1, 3, 4, 5, 6",,"4, 6","Standard","Head Protection","1, 3, 4, 6"," ","Yes"," ","Standard","Torso and/or Pelvis Protection","1, 3"," ","Standard","1, 3",,"1, 3, 4, 5, 6","N/A",,"Standard"," ",,,"Standard","1,3,4,6,R"," ","Standard"," "," ","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria",," "," "," "," ",5,11356,"19UUB6F30MA002994",5,4,,,,,5,3923,"CURTAIN AIR BAG,FRONTAL AIR BAG,KNEE AIR BAG",142.903,23.954,1147.216,1187.337,.2,778.44,126.116,358.289,15.859,1850.423,2106.368,.32,829.421,295.286,11348,"19UUB5F38MA001490",5,5,5,5,5,,,"During the side barrier test, the driver side curtain air bag was caught at the B-pillar",,5,,127.933,19.93,838.325,1240.908,180.623,2398.707,11353,"19UUB5F31MA004425",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",464.256,2154.674,.09,1.51,"No Tip",,,5,,
"ACURA","TLX",2025,"4 DR","PC","FWD",1,," ","5","1, 3, 4, 5, 6","N/A",4806,5181,"Standard","1, 3","Standard","1, 3, 4, 6","Standard","1, 3, 4, 6",,"1, 3, 4, 5, 6",,"4, 6","Standard","Head Protection","1, 3, 4, 6"," ","Yes"," ","Standard","Torso and/or Pelvis Protection","1, 3"," ","Standard","1, 3",,"1, 3, 4, 5, 6","N/A",,"Standard"," ",,,"Standard","1,3,4,6,R"," ","Standard"," "," ","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria","Standard","Standard","Meets Performance Criteria",," "," "," "," ",5,11356,"19UUB6F30MA002994",5,4,,,,,5,3923,"CURTAIN AIR BAG,FRONTAL AIR BAG,KNEE AIR BAG",142.903,23.954,1147.216,1187.337,.2,778.44,126.116,358.289,15.859,1850.423,2106.368,.32,829.421,295.286,11348,"19UUB5F38MA001490",5,5,5,5,5,,,"During the side barrier test, the driver side curtain air bag was caught at the B-pillar",,5,,127.933,19.93,838.325,1240.908,180.623,2398.707,11353,"19UUB5F31MA004425",5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",464.256,2154.674,.09,1.51,"No Tip",,,5,,
