MakeID,MakeName,ModelID,ModelName,BodyID,BodyType,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2,Jeep / Kaiser-Jeep / Willys- Jeep,404,Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),14,Compact utility,0,0,0,0,0,312,303,323,299,291,312
2,Jeep / Kaiser-Jeep / Willys- Jeep,421,Cherokee (thru 1983),15,Large utility,0,1,1,0,2,1,0,0,2,0,1
2,Jeep / Kaiser-Jeep / Willys- Jeep,401,CJ-2/CJ-3/CJ-4,14,Compact utility,1,0,0,1,0,0,0,0,0,0,0
2,Jeep / Kaiser-Jeep / Willys- Jeep,402,CJ-5/CJ-6/CJ-7/CJ-8,14,Compact utility,14,5,17,6,10,12,10,12,9,10,8
2,Jeep / Kaiser-Jeep / Willys- Jeep,482,Comanche,31,Standard pickup,1,4,2,3,2,3,1,1,2,2,1
2,Jeep / Kaiser-Jeep / Willys- Jeep,406,Commander,14,Compact utility,10,4,6,10,9,8,10,9,12,8,16
2,Jeep / Kaiser-Jeep / Willys- Jeep,1,Compass,6,Station Wagon,2,5,5,8,6,11,17,33,28,30,36
2,Jeep / Kaiser-Jeep / Willys- Jeep,483,Gladiator,34,Light Pickup,0,0,0,0,0,0,0,0,0,2,8
2,Jeep / Kaiser-Jeep / Willys- Jeep,422,Grand Cherokee (For 2014 on.  Use model 404 for model years prior to 2013.),15,Large utility,0,0,0,0,0,11,10,32,21,43,47
2,Jeep / Kaiser-Jeep / Willys- Jeep,431,Grand Wagoneer,15,Large utility,1,4,1,1,3,1,0,0,0,0,2
2,Jeep / Kaiser-Jeep / Willys- Jeep,405,Liberty,14,Compact utility,64,79,57,83,68,92,72,81,79,82,73
2,Jeep / Kaiser-Jeep / Willys- Jeep,498,Other (light truck),14,Compact utility,1,1,0,0,0,0,1,1,0,1,2
2,Jeep / Kaiser-Jeep / Willys- Jeep,407,Patriot,14,Compact utility,5,9,7,10,13,32,35,46,46,37,48
2,Jeep / Kaiser-Jeep / Willys- Jeep,481,Pick-up,31,Standard pickup,1,1,1,0,0,0,0,0,0,0,0
2,Jeep / Kaiser-Jeep / Willys- Jeep,408,Renegade,14,Compact utility,0,0,0,0,0,0,6,9,6,23,16
2,Jeep / Kaiser-Jeep / Willys- Jeep,999,Unknown (JEEP),49,Unknown light vehicle type,0,0,2,1,6,3,3,0,2,2,4
2,Jeep / Kaiser-Jeep / Willys- Jeep,499,Unknown (light truck),14,Compact utility,1,2,0,1,3,0,1,0,0,0,0
2,Jeep / Kaiser-Jeep / Willys- Jeep,403,YJ series/Wrangler,14,Compact utility,133,127,136,134,168,171,159,154,179,170,171
7,Dodge,12,400,1,Convertible,0,0,0,0,0,0,0,0,0,0,0
7,Dodge,14,600,1,Convertible,2,1,1,0,0,0,0,0,0,0,0
7,Dodge,11,Aries (K),2,"2-door sedan,hardtop,coupe",4,2,1,2,1,2,0,0,0,0,0
7,Dodge,6,Aspen,2,"2-door sedan,hardtop,coupe",0,0,0,0,0,0,0,0,0,0,0
7,Dodge,26,Avenger,4,"4-door sedan, hardtop",28,36,35,31,37,44,53,61,54,50,60
7,Dodge,42,Avenger,2,"2-door sedan,hardtop,coupe",28,36,35,31,37,44,53,61,54,50,60
7,Dodge,461,B-Series Van/Ram Van/ Ram Wagon,21,Large Van,46,49,21,32,12,33,18,20,15,12,11
7,Dodge,30,Barracuda,2,"2-door sedan,hardtop,coupe",0,0,0,0,0,0,0,0,0,0,0
7,Dodge,981,Bus**: Conventional (Engine out front),50,School Bus,0,0,0,0,0,0,0,0,0,0,0
7,Dodge,25,Caliber,5,5-door/4-door hatchback,26,31,30,33,43,51,30,39,48,41,34
7,Dodge,442,Caravan/Grand Caravan,20,Minivan,238,228,223,212,229,236,217,233,237,220,170
7,Dodge,5,Challenger,1,Convertible,7,10,15,18,0,0,0,0,1,0,0
7,Dodge,33,Challenger,2,"2-door sedan,hardtop,coupe",7,10,15,18,0,0,0,0,1,0,0
7,Dodge,28,Challenger (2008 on; for 1970-74 see model 005),2,"2-door sedan,hardtop,coupe",0,0,0,0,22,39,30,60,42,67,99
7,Dodge,24,Charger,2,"2-door sedan,hardtop,coupe",36,46,60,64,58,77,96,111,101,116,146
7,Dodge,34,Colt  (includes 2WD Vista),2,"2-door sedan,hardtop,coupe",1,2,4,0,1,0,1,0,0,0,0
7,Dodge,35,Conquest,3,3-door/2-door hatchback,0,0,0,0,0,0,0,0,0,0,0
7,Dodge,2,Coronet/Magnum/ Charger (thru 1978),1,Convertible,1,0,0,0,0,0,0,0,2,1,0
7,Dodge,481,"D, W-Series pickup",31,Standard pickup,37,18,21,16,24,14,13,15,9,8,12
7,Dodge,471,"D50, Colt pickup, Ram 50/Ram 100",30,Compact pickup,5,8,5,4,7,3,2,4,0,0,0
7,Dodge,472,Dakota,30,Compact pickup,143,160,142,129,158,133,151,130,137,110,117
7,Dodge,1,Dart,1,Convertible,0,0,0,2,1,0,2,0,0,0,2
7,Dodge,29,Dart (2013 on. See model 001 for 1960-1976.),4,"4-door sedan, hardtop",0,0,3,3,10,19,29,38,21,29,26
7,Dodge,15,Daytona,3,3-door/2-door hatchback,0,3,2,0,0,0,0,0,1,0,0
7,Dodge,7,Diplomat,2,"2-door sedan,hardtop,coupe",0,0,1,0,1,0,1,1,0,0,0
